xflr5 v6.44

 Calculated polar for: AG35

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.005     Re =     0.650 e 6     Ncrit =   7.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
-12.500,-0.4313, 0.11658, 0.11466,-0.0042,1.0000,0.0137,-2.1765, 0.0000, 0.2350
-12.250,-0.4311, 0.11217, 0.11025,-0.0055,1.0000,0.0137,-2.2616, 0.0000, 0.2320
-12.000,-0.4311, 0.10767, 0.10576,-0.0069,1.0000,0.0137,-2.3426, 0.0000, 0.2290
-11.750,-0.4314, 0.10308, 0.10118,-0.0082,1.0000,0.0137,-2.4227, 0.0000, 0.2260
-11.500,-0.4321, 0.09836, 0.09648,-0.0097,1.0000,0.0138,-2.5036, 0.0000, 0.2229
-11.250,-0.4335, 0.09352, 0.09165,-0.0112,1.0000,0.0138,-2.5882, 0.0000, 0.2196
-10.250,-0.4397, 0.07580, 0.07399,-0.0165,1.0000,0.0128,-2.6943, 0.0000, 0.2087
-10.000,-0.4468, 0.07005, 0.06826,-0.0191,1.0000,0.0123,-2.8356, 0.0000, 0.2039
 -9.750,-0.5568, 0.06375, 0.06188,-0.0300,1.0000,0.0102,-4.1715, 0.0000, 0.1926
 -9.500,-0.5664, 0.04733, 0.04520,-0.0434,1.0000,0.0100,-4.9826, 0.0000, 0.1702
 -9.250,-0.6032, 0.02269, 0.01868,-0.0475,1.0000,0.0102,-6.8565, 0.0000, 0.1681
 -9.000,-0.5841, 0.02072, 0.01635,-0.0465,1.0000,0.0105,-6.6635, 0.0000, 0.1673
 -8.750,-0.5673, 0.01812, 0.01337,-0.0453,1.0000,0.0109,-6.5142, 0.0000, 0.1672
 -8.500,-0.5430, 0.01709, 0.01223,-0.0449,0.9990,0.0112,-6.1844, 0.0000, 0.1644
 -8.250,-0.5100, 0.01634, 0.01138,-0.0463,0.9960,0.0117,-5.7817, 0.0000, 0.1563
 -8.000,-0.4770, 0.01560, 0.01051,-0.0475,0.9925,0.0124,-5.4011, 0.0000, 0.1474
 -7.750,-0.4444, 0.01467, 0.00941,-0.0486,0.9878,0.0131,-5.1061, 0.0000, 0.1377
 -7.500,-0.4122, 0.01381, 0.00839,-0.0495,0.9825,0.0135,-4.8203, 0.0000, 0.1268
 -7.250,-0.3811, 0.01277, 0.00719,-0.0502,0.9759,0.0141,-4.5539, 0.0000, 0.1149
 -7.000,-0.3507, 0.01196, 0.00632,-0.0508,0.9674,0.0148,-4.2646, 0.0000, 0.1017
 -6.750,-0.3207, 0.01148, 0.00579,-0.0512,0.9578,0.0155,-3.9646, 0.0000, 0.0868
 -6.500,-0.2923, 0.01110, 0.00535,-0.0511,0.9471,0.0166,-3.6786, 0.0000, 0.0714
 -6.250,-0.2654, 0.01075, 0.00492,-0.0506,0.9351,0.0175,-3.4119, 0.0000, 0.0550
 -6.000,-0.2396, 0.01019, 0.00427,-0.0500,0.9219,0.0185,-3.2059, 0.0000, 0.0369
 -5.750,-0.2135, 0.00981, 0.00383,-0.0494,0.9088,0.0198,-2.9846, 0.0000, 0.0138
 -5.500,-0.1870, 0.00954, 0.00350,-0.0489,0.8958,0.0214,-2.7632, 0.0000,-0.0169
 -5.250,-0.1601, 0.00933, 0.00320,-0.0484,0.8827,0.0229,-2.5447, 0.0000,-0.0585
 -5.000,-0.1334, 0.00898, 0.00282,-0.0480,0.8696,0.0263,-2.3351, 0.0000,-0.1171
 -4.750,-0.1061, 0.00882, 0.00258,-0.0477,0.8561,0.0293,-2.1332, 0.0000,-0.2079
 -4.500,-0.0789, 0.00855, 0.00228,-0.0473,0.8409,0.0355,-1.9571, 0.0000,-0.3615
 -4.250,-0.0516, 0.00836, 0.00206,-0.0471,0.8245,0.0449,-1.7779, 0.0000,-0.6793
 -4.000,-0.0243, 0.00816, 0.00186,-0.0468,0.8091,0.0628,-1.6007, 0.0000,-1.7096
 -3.750, 0.0030, 0.00796, 0.00170,-0.0466,0.7944,0.0943,-1.4258, 0.0000,15.8635
 -3.500, 0.0304, 0.00772, 0.00157,-0.0465,0.7798,0.1429,-1.2552, 0.0000, 1.8056
 -3.250, 0.0578, 0.00746, 0.00147,-0.0464,0.7647,0.2042,-1.0913, 0.0000, 1.0657
 -3.000, 0.0852, 0.00723, 0.00139,-0.0463,0.7484,0.2696,-0.9483, 0.0000, 0.8017
 -2.750, 0.1126, 0.00703, 0.00132,-0.0463,0.7301,0.3369,-0.8097, 0.0000, 0.6664
