xflr5 v6.44

 Calculated polar for: EPPLER 395

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.005     Re =     0.400 e 6     Ncrit =   7.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
-11.750,-0.4365, 0.08474, 0.08213,-0.0679,0.9958,0.0079,-6.5569, 0.0000, 0.0731
-11.500,-0.4601, 0.07256, 0.06983,-0.0784,0.9920,0.0077,-7.2112, 0.0000, 0.0588
-11.250,-0.4790, 0.06131, 0.05841,-0.0899,0.9863,0.0075,-7.7417, 0.0000, 0.0422
-11.000,-0.4916, 0.05109, 0.04799,-0.1019,0.9778,0.0074,-8.1420, 0.0000, 0.0232
-10.750,-0.4984, 0.04228, 0.03895,-0.1134,0.9651,0.0074,-8.4024, 0.0000, 0.0038
-10.500,-0.4865, 0.03343, 0.02976,-0.1294,0.9532,0.0074,-8.4956, 0.0000,-0.0342
-10.250,-0.4598, 0.02829, 0.02423,-0.1405,0.9449,0.0076,-8.3299, 0.0000,-0.0740
-10.000,-0.4323, 0.02536, 0.02097,-0.1458,0.9380,0.0078,-8.0764, 0.0000,-0.1059
 -9.750,-0.4019, 0.02306, 0.01835,-0.1498,0.9324,0.0081,-7.8244, 0.0000,-0.1422
 -9.500,-0.3709, 0.02123, 0.01637,-0.1532,0.9266,0.0084,-7.5190, 0.0000,-0.1830
 -9.250,-0.3408, 0.01987, 0.01486,-0.1555,0.9196,0.0088,-7.2019, 0.0000,-0.2271
 -9.000,-0.3103, 0.01859, 0.01339,-0.1576,0.9126,0.0094,-6.9134, 0.0000,-0.2797
 -8.750,-0.2801, 0.01743, 0.01207,-0.1594,0.9057,0.0101,-6.6097, 0.0000,-0.3425
 -8.500,-0.2503, 0.01657, 0.01105,-0.1608,0.8985,0.0111,-6.2914, 0.0000,-0.4173
 -8.250,-0.2223, 0.01572, 0.01009,-0.1617,0.8905,0.0123,-5.9910, 0.0000,-0.5041
 -8.000,-0.1944, 0.01493, 0.00915,-0.1625,0.8828,0.0139,-5.7114, 0.0000,-0.6151
 -7.750,-0.1663, 0.01421, 0.00831,-0.1632,0.8755,0.0162,-5.4306, 0.0000,-0.7638
 -7.500,-0.1379, 0.01361, 0.00761,-0.1638,0.8687,0.0198,-5.1366, 0.0000,-0.9757
 -7.250,-0.1099, 0.01308, 0.00700,-0.1643,0.8617,0.0247,-4.8381, 0.0000,-1.2893
 -7.000,-0.0822, 0.01266, 0.00651,-0.1646,0.8548,0.0307,-4.5350, 0.0000,-1.8103
 -6.750,-0.0540, 0.01227, 0.00607,-0.1650,0.8484,0.0373,-4.2256, 0.0000,-2.8864
 -6.500,-0.0257, 0.01195, 0.00568,-0.1653,0.8424,0.0447,-3.9186, 0.0000,-6.3595
 -6.250, 0.0021, 0.01165, 0.00532,-0.1655,0.8359,0.0523,-3.6215, 0.0000,79.4499
