xflr5 v6.44

 Calculated polar for: EPPLER 433 AIRFOIL

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.005     Re =     0.250 e 6     Ncrit =   7.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
-14.000,-0.3119, 0.15734, 0.15407,-0.0485,0.9975,0.0210,-1.5725, 0.0000, 0.0654
-13.750,-0.3000, 0.15339, 0.15011,-0.0519,0.9960,0.0218,-1.5771, 0.0000, 0.0476
-13.500,-0.2887, 0.14946, 0.14618,-0.0550,0.9941,0.0227,-1.5847, 0.0000, 0.0293
-13.250,-0.2776, 0.14557, 0.14230,-0.0583,0.9920,0.0237,-1.5966, 0.0000, 0.0093
-13.000,-0.2666, 0.14176, 0.13848,-0.0617,0.9901,0.0248,-1.6151, 0.0000,-0.0128
-12.750,-0.2555, 0.13811, 0.13483,-0.0656,0.9884,0.0262,-1.6473, 0.0000,-0.0388
-12.500,-0.2439, 0.13491, 0.13163,-0.0706,0.9868,0.0277,-1.6962, 0.0000,-0.0723
-12.250,-0.2331, 0.13180, 0.12852,-0.0738,0.9831,0.0284,-1.7110, 0.0000,-0.1003
-12.000,-0.2220, 0.12818, 0.12491,-0.0770,0.9798,0.0286,-1.7241, 0.0000,-0.1314
-11.750,-0.2105, 0.12428, 0.12100,-0.0804,0.9772,0.0288,-1.7399, 0.0000,-0.1677
-11.500,-0.1988, 0.12019, 0.11691,-0.0840,0.9750,0.0289,-1.7578, 0.0000,-0.2098
-11.250,-0.1866, 0.11595, 0.11267,-0.0878,0.9731,0.0290,-1.7776, 0.0000,-0.2593
-11.000,-0.1742, 0.11160, 0.10832,-0.0918,0.9716,0.0291,-1.7992, 0.0000,-0.3177
-10.750,-0.1679, 0.10783, 0.10457,-0.0939,0.9658,0.0291,-1.8239, 0.0000,-0.3502
-10.500,-0.1583, 0.10360, 0.10034,-0.0971,0.9617,0.0291,-1.8500, 0.0000,-0.4062
-10.250,-0.1474, 0.09914, 0.09588,-0.1010,0.9586,0.0292,-1.8788, 0.0000,-0.4794
-10.000,-0.1360, 0.09450, 0.09124,-0.1052,0.9562,0.0292,-1.9125, 0.0000,-0.5704
 -9.750,-0.1239, 0.08965, 0.08639,-0.1100,0.9541,0.0292,-1.9628, 0.0000,-0.6882
 -9.500,-0.1109, 0.08446, 0.08119,-0.1155,0.9523,0.0292,-2.0214, 0.0000,-0.8468
 -9.250,-0.1048, 0.07974, 0.07648,-0.1195,0.9467,0.0293,-2.0890, 0.0000,-0.9465
 -9.000,-0.0999, 0.07433, 0.07107,-0.1248,0.9402,0.0293,-2.1816, 0.0000,-1.0555
 -8.750,-0.0953, 0.06835, 0.06502,-0.1317,0.9346,0.0293,-2.2914, 0.0000,-1.1898
 -8.500,-0.0918, 0.06304, 0.05960,-0.1378,0.9294,0.0293,-2.3814, 0.0000,-1.3090
 -8.250,-0.0997, 0.05970, 0.05617,-0.1389,0.9208,0.0293,-2.4476, 0.0000,-1.1938
 -8.000,-0.1076, 0.05679, 0.05316,-0.1384,0.9116,0.0292,-2.5017, 0.0000,-1.0809
 -7.750,-0.1072, 0.05278, 0.04900,-0.1392,0.9050,0.0291,-2.5598, 0.0000,-1.0918
 -7.500,-0.1363, 0.04215, 0.03808,-0.1404,0.8971,0.0209,-3.0101, 0.0000,-0.8134
 -7.250,-0.1483, 0.03858, 0.03425,-0.1362,0.8884,0.0192,-3.2124, 0.0000,-0.6978
 -7.000,-0.1538, 0.03295, 0.02805,-0.1327,0.8809,0.0168,-3.6272, 0.0000,-0.6408
 -6.750,-0.1407, 0.02980, 0.02450,-0.1314,0.8762,0.0162,-3.7143, 0.0000,-0.7135
 -6.500,-0.1216, 0.02739, 0.02176,-0.1309,0.8726,0.0163,-3.6853, 0.0000,-0.8589
 -6.250,-0.0994, 0.02521, 0.01925,-0.1306,0.8694,0.0164,-3.6331, 0.0000,-1.1026
 -6.000,-0.0743, 0.02318, 0.01679,-0.1306,0.8664,0.0164,-3.5745, 0.0000,-1.5576
 -5.750,-0.0505, 0.02160, 0.01495,-0.1302,0.8630,0.0165,-3.4934, 0.0000,-2.3997
 -5.500,-0.0348, 0.02047, 0.01366,-0.1280,0.8591,0.0168,-3.4082, 0.0000,-3.5238
 -5.250,-0.0167, 0.01956, 0.01264,-0.1263,0.8545,0.0177,-3.2773, 0.0000,-7.5131
 -5.000, 0.0051, 0.01874, 0.01174,-0.1253,0.8499,0.0190,-3.1175, 0.0000,25.3989
 -4.750, 0.0294, 0.01781, 0.01069,-0.1247,0.8457,0.0202,-2.9755, 0.0000, 4.5837
 -4.500, 0.0549, 0.01690, 0.00969,-0.1242,0.8421,0.0216,-2.8348, 0.0000, 2.5631
 -4.250, 0.0811, 0.01612, 0.00881,-0.1240,0.8389,0.0240,-2.6834, 0.0000, 1.8106
 -4.000, 0.1092, 0.01562, 0.00822,-0.1242,0.8361,0.0280,-2.4870, 0.0000, 1.4102
 -3.750, 0.1361, 0.01473, 0.00724,-0.1243,0.8331,0.0396,-2.3803, 0.0000, 1.1801
 -3.500, 0.1647, 0.01412, 0.00677,-0.1249,0.8301,0.0845,-2.2018, 0.0000, 1.0214
 -3.250, 0.1904, 0.01356, 0.00661,-0.1254,0.8266,0.1830,-1.9877, 0.0000, 0.9189
 -3.000, 0.2081, 0.01242, 0.00642,-0.1250,0.8233,0.4151,-1.8030, 0.0000, 0.8590
 -2.750, 0.2239, 0.01194, 0.00684,-0.1226,0.8190,0.6445,-1.6206, 0.0000, 0.8047
 -2.500, 0.2459, 0.01212, 0.00706,-0.1210,0.8143,0.6958,-1.4179, 0.0000, 0.7479
 -2.250, 0.2713, 0.01235, 0.00717,-0.1201,0.8099,0.7280,-1.2079, 0.0000, 0.6974
 -2.000, 0.2948, 0.01254, 0.00734,-0.1187,0.8062,0.7445,-1.0121, 0.0000, 0.6564
 -1.750, 0.3196, 0.01278, 0.00753,-0.1176,0.8028,0.7598,-0.8209, 0.0000, 0.6207
 -1.500, 0.3483, 0.01293, 0.00758,-0.1174,0.7995,0.7725,-0.6523, 0.0000, 0.5893
 -1.250, 0.3778, 0.01299, 0.00755,-0.1175,0.7961,0.7821,-0.6694, 0.0000, 0.5624
 -1.000, 0.3990, 0.01320, 0.00776,-0.1150,0.7922,0.7963,-0.6831, 0.0000, 0.5392
 -0.750, 0.4222, 0.01363, 0.00813,-0.1133,0.7877,0.8110,-0.6977, 0.0000, 0.5189
 -0.500, 0.4420, 0.01380, 0.00828,-0.1118,0.7845,0.8192,-0.7115, 0.0000, 0.5028
 -0.250, 0.4648, 0.01387, 0.00832,-0.1110,0.7800,0.8226,-0.7268, 0.0000, 0.4884
  0.000, 0.4891, 0.01379, 0.00820,-0.1106,0.7749,0.8260,-0.7430, 0.0000, 0.4752
  0.250, 0.5138, 0.01364, 0.00802,-0.1101,0.7700,0.8299,-0.7607, 0.0000, 0.4629
  0.500, 0.5417, 0.01351, 0.00785,-0.1102,0.7654,0.8322,-0.7813, 0.0000, 0.4518
  0.750, 0.5716, 0.01335, 0.00765,-0.1107,0.7609,0.8344,-0.8035, 0.0000, 0.4416
  1.000, 0.6022, 0.01322, 0.00746,-0.1113,0.7568,0.8365,-0.8284, 0.0000, 0.4325
  1.250, 0.6340, 0.01313, 0.00733,-0.1123,0.7528,0.8386,-0.8541, 0.0000, 0.4244
  1.500, 0.6677, 0.01313, 0.00726,-0.1136,0.7476,0.8407,-0.8812, 0.0000, 0.4171
  1.750, 0.6887, 0.01315, 0.00732,-0.1124,0.7429,0.8445,-0.9034, 0.0000, 0.4099
  2.000, 0.7097, 0.01315, 0.00735,-0.1112,0.7372,0.8481,-0.9257, 0.0000, 0.4031
  2.250, 0.7345, 0.01311, 0.00732,-0.1108,0.7308,0.8508,-0.9517, 0.0000, 0.3970
  2.500, 0.7621, 0.01302, 0.00723,-0.1109,0.7244,0.8533,-0.9820, 0.0000, 0.3914
  2.750, 0.7913, 0.01293, 0.00713,-0.1114,0.7186,0.8557,-1.0135, 0.0000, 0.3863
  3.000, 0.8240, 0.01280, 0.00697,-0.1125,0.7125,0.8579,-1.0507, 0.0000, 0.3817
  3.250, 0.8591, 0.01273, 0.00685,-0.1141,0.7052,0.8598,-1.0915, 0.0000, 0.3777
  3.500, 0.8825, 0.01279, 0.00696,-0.1135,0.6990,0.8622,-1.1236, 0.0000, 0.3732
  3.750, 0.9041, 0.01282, 0.00705,-0.1125,0.6911,0.8645,-1.1583, 0.0000, 0.3688
  4.000, 0.9288, 0.01281, 0.00707,-0.1121,0.6818,0.8663,-1.1971, 0.0000, 0.3647
  4.250, 0.9570, 0.01269, 0.00695,-0.1123,0.6729,0.8692,-1.2407, 0.0000, 0.3610
  4.500, 0.9877, 0.01257, 0.00678,-0.1129,0.6628,0.8720,-1.2925, 0.0000, 0.3577
  4.750, 1.0090, 0.01260, 0.00687,-0.1118,0.6533,0.8753,-1.3355, 0.0000, 0.3539
  5.000, 1.0275, 0.01265, 0.00702,-0.1101,0.6427,0.8789,-1.3796, 0.0000, 0.3499
  5.250, 1.0500, 0.01266, 0.00703,-0.1091,0.6298,0.8823,-1.4329, 0.0000, 0.3464
  5.500, 1.0770, 0.01268, 0.00696,-0.1090,0.6145,0.8854,-1.4919, 0.0000, 0.3434
  5.750, 1.0943, 0.01281, 0.00717,-0.1072,0.6022,0.8895,-1.5431, 0.0000, 0.3398
  6.000, 1.1124, 0.01292, 0.00732,-0.1054,0.5852,0.8937,-1.6029, 0.0000, 0.3363
  6.250, 1.1324, 0.01309, 0.00737,-0.1040,0.5652,0.8979,-1.6663, 0.0000, 0.3330
  6.500, 1.1483, 0.01331, 0.00765,-0.1020,0.5478,0.9029,-1.7319, 0.0000, 0.3296
  6.750, 1.1633, 0.01360, 0.00784,-0.0998,0.5253,0.9083,-1.8032, 0.0000, 0.3262
  7.000, 1.1761, 0.01388, 0.00811,-0.0971,0.5045,0.9149,-1.8712, 0.0000, 0.3227
  7.250, 1.1861, 0.01431, 0.00844,-0.0941,0.4800,0.9220,-1.9463, 0.0000, 0.3191
  7.500, 1.1997, 0.01471, 0.00884,-0.0919,0.4604,0.9294,-2.0367, 0.0000, 0.3160
  7.750, 1.2106, 0.01527, 0.00932,-0.0893,0.4370,0.9375,-2.1224, 0.0000, 0.3128
  8.000, 1.2199, 0.01580, 0.00981,-0.0864,0.4148,0.9504,-2.2053, 0.0000, 0.3095
  8.500, 1.2441, 0.01719, 0.01117,-0.0827,0.3681,1.0000,-2.3998, 0.0000, 0.3044
  8.750, 1.2559, 0.01813, 0.01201,-0.0811,0.3432,1.0000,-2.5229, 0.0000, 0.3021
  9.000, 1.2675, 0.01908, 0.01290,-0.0795,0.3204,1.0000,-2.6474, 0.0000, 0.2998
  9.250, 1.2770, 0.02018, 0.01389,-0.0776,0.2973,1.0000,-2.7667, 0.0000, 0.2975
