xflr5 v6.44

 Calculated polar for: GOE 614

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.005     Re =     0.650 e 6     Ncrit =   7.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
-14.000,-0.4180, 0.05964, 0.05642,-0.1300,0.9711,0.0262,-5.2288, 0.0000,-0.1093
-13.750,-0.4314, 0.05310, 0.04971,-0.1370,0.9658,0.0262,-5.3499, 0.0000,-0.1134
-13.500,-0.4357, 0.04730, 0.04375,-0.1443,0.9620,0.0262,-5.4168, 0.0000,-0.1257
-13.250,-0.4393, 0.04268, 0.03897,-0.1497,0.9547,0.0262,-5.4520, 0.0000,-0.1335
-13.000,-0.4359, 0.03854, 0.03466,-0.1554,0.9464,0.0263,-5.4509, 0.0000,-0.1484
-12.750,-0.4188, 0.03464, 0.03057,-0.1634,0.9412,0.0263,-5.3984, 0.0000,-0.1824
-12.500,-0.4072, 0.03185, 0.02760,-0.1682,0.9289,0.0264,-5.3416, 0.0000,-0.2050
-12.250,-0.3757, 0.02933, 0.02487,-0.1755,0.9216,0.0265,-5.2148, 0.0000,-0.2612
-12.000,-0.3597, 0.02778, 0.02316,-0.1772,0.9069,0.0266,-5.1175, 0.0000,-0.2873
-11.750,-0.3446, 0.02657, 0.02177,-0.1777,0.8925,0.0266,-5.0155, 0.0000,-0.3109
-11.500,-0.3336, 0.02575, 0.02076,-0.1766,0.8771,0.0267,-4.9180, 0.0000,-0.3246
-11.000,-0.3151, 0.02268, 0.01741,-0.1734,0.8505,0.0273,-4.7824, 0.0000,-0.3456
-10.750,-0.3024, 0.02179, 0.01642,-0.1717,0.8382,0.0275,-4.6827, 0.0000,-0.3635
-10.500,-0.2889, 0.02101, 0.01556,-0.1699,0.8275,0.0276,-4.5780, 0.0000,-0.3847
-10.250,-0.2749, 0.02031, 0.01478,-0.1681,0.8167,0.0277,-4.4702, 0.0000,-0.4089
-10.000,-0.2594, 0.01967, 0.01404,-0.1665,0.8075,0.0279,-4.3572, 0.0000,-0.4400
 -9.750,-0.2440, 0.01907, 0.01338,-0.1647,0.7984,0.0280,-4.2439, 0.0000,-0.4748
 -9.500,-0.2275, 0.01852, 0.01274,-0.1631,0.7887,0.0282,-4.1274, 0.0000,-0.5185
 -9.250,-0.2105, 0.01798, 0.01214,-0.1615,0.7799,0.0284,-4.0100, 0.0000,-0.5711
 -9.000,-0.1930, 0.01749, 0.01157,-0.1599,0.7700,0.0285,-3.8976, 0.0000,-0.6351
 -8.750,-0.1748, 0.01703, 0.01102,-0.1583,0.7611,0.0287,-3.7916, 0.0000,-0.7158
 -8.500,-0.1560, 0.01656, 0.01050,-0.1569,0.7524,0.0289,-3.6844, 0.0000,-0.8207
 -8.250,-0.1372, 0.01614, 0.01000,-0.1554,0.7430,0.0290,-3.5776, 0.0000,-0.9540
 -8.000,-0.1177, 0.01573, 0.00953,-0.1540,0.7343,0.0292,-3.4699, 0.0000,-1.1385
 -7.750,-0.0981, 0.01534, 0.00907,-0.1525,0.7241,0.0294,-3.3625, 0.0000,-1.3973
 -7.500,-0.0787, 0.01499, 0.00863,-0.1510,0.7140,0.0295,-3.2561, 0.0000,-1.7786
 -7.250,-0.0584, 0.01463, 0.00822,-0.1496,0.7033,0.0297,-3.1484, 0.0000,-2.4539
 -7.000,-0.0390, 0.01433, 0.00782,-0.1480,0.6925,0.0298,-3.0433, 0.0000,-3.7500
 -6.750,-0.0178, 0.01400, 0.00744,-0.1468,0.6827,0.0300,-2.9349, 0.0000,-8.4398
 -6.500, 0.0023, 0.01373, 0.00708,-0.1453,0.6719,0.0302,-2.8299, 0.0000,67.4463
 -6.250, 0.0237, 0.01345, 0.00674,-0.1441,0.6624,0.0303,-2.7228, 0.0000, 6.6266
 -6.000, 0.0445, 0.01320, 0.00641,-0.1427,0.6516,0.0305,-2.6179, 0.0000, 3.6070
 -5.750, 0.0657, 0.01297, 0.00611,-0.1414,0.6417,0.0307,-2.5130, 0.0000, 2.4966
 -5.500, 0.0870, 0.01275, 0.00581,-0.1401,0.6307,0.0308,-2.4088, 0.0000, 1.9265
 -5.250, 0.1081, 0.01257, 0.00556,-0.1387,0.6205,0.0311,-2.3052, 0.0000, 1.5838
 -5.000, 0.1304, 0.01240, 0.00532,-0.1375,0.6102,0.0314,-2.1993, 0.0000, 1.3444
 -4.750, 0.1513, 0.01228, 0.00511,-0.1361,0.6004,0.0317,-2.0977, 0.0000, 1.1816
 -4.500, 0.1746, 0.01210, 0.00489,-0.1351,0.5923,0.0318,-1.9933, 0.0000, 1.0495
 -4.250, 0.1962, 0.01192, 0.00464,-0.1338,0.5833,0.0321,-1.8973, 0.0000, 0.9534
 -4.000, 0.2174, 0.01173, 0.00438,-0.1325,0.5752,0.0326,-1.8040, 0.0000, 0.8768
 -3.750, 0.2404, 0.01155, 0.00416,-0.1314,0.5677,0.0331,-1.7064, 0.0000, 0.8111
 -3.500, 0.2623, 0.01144, 0.00398,-0.1301,0.5596,0.0337,-1.6105, 0.0000, 0.7581
 -3.250, 0.2842, 0.01136, 0.00384,-0.1289,0.5523,0.0344,-1.5231, 0.0000, 0.7132
 -3.000, 0.3074, 0.01127, 0.00371,-0.1278,0.5444,0.0351,-1.4398, 0.0000, 0.6738
 -2.750, 0.3277, 0.01124, 0.00360,-0.1262,0.5351,0.0359,-1.3618, 0.0000, 0.6415
 -2.500, 0.3485, 0.01119, 0.00350,-0.1247,0.5272,0.0368,-1.2839, 0.0000, 0.6127
 -2.000, 0.3901, 0.01110, 0.00332,-0.1216,0.5127,0.0404,-1.1331, 0.0000, 0.5644
 -1.750, 0.4099, 0.01093, 0.00320,-0.1200,0.5070,0.0615,-1.0818, 0.0000, 0.5443
 -1.500, 0.4321, 0.01074, 0.00315,-0.1189,0.5023,0.1012,-1.1022, 0.0000, 0.5258
 -1.250, 0.4544, 0.01068, 0.00311,-0.1177,0.4969,0.1130,-1.1232, 0.0000, 0.5089
 -1.000, 0.4752, 0.01065, 0.00309,-0.1163,0.4910,0.1272,-1.1435, 0.0000, 0.4937
 -0.750, 0.4937, 0.01053, 0.00313,-0.1145,0.4847,0.1779,-1.1622, 0.0000, 0.4802
 -0.500, 0.5169, 0.01049, 0.00316,-0.1135,0.4799,0.2015,-1.1840, 0.0000, 0.4672
 -0.250, 0.5393, 0.01053, 0.00320,-0.1124,0.4739,0.2145,-1.2053, 0.0000, 0.4554
  0.000, 0.5603, 0.01058, 0.00327,-0.1110,0.4681,0.2282,-1.2258, 0.0000, 0.4445
  0.250, 0.5811, 0.01069, 0.00335,-0.1096,0.4627,0.2391,-1.2493, 0.0000, 0.4344
  0.500, 0.6048, 0.01070, 0.00340,-0.1088,0.4593,0.2520,-1.2826, 0.0000, 0.4250
  0.750, 0.6282, 0.01075, 0.00346,-0.1079,0.4550,0.2613,-1.3159, 0.0000, 0.4164
  1.000, 0.6498, 0.01081, 0.00354,-0.1066,0.4498,0.2743,-1.3480, 0.0000, 0.4083
  1.250, 0.6700, 0.01092, 0.00364,-0.1051,0.4443,0.2867,-1.3790, 0.0000, 0.4006
  1.500, 0.6899, 0.01101, 0.00376,-0.1036,0.4391,0.3054,-1.4099, 0.0000, 0.3934
  1.750, 0.7129, 0.01102, 0.00386,-0.1027,0.4355,0.3306,-1.4435, 0.0000, 0.3868
  2.000, 0.7348, 0.01106, 0.00396,-0.1016,0.4307,0.3586,-1.4762, 0.0000, 0.3805
  2.250, 0.7551, 0.01114, 0.00409,-0.1002,0.4251,0.3870,-1.5079, 0.0000, 0.3745
  2.500, 0.7735, 0.01124, 0.00425,-0.0985,0.4198,0.4178,-1.5380, 0.0000, 0.3687
  2.750, 0.7937, 0.01132, 0.00440,-0.0971,0.4157,0.4470,-1.5697, 0.0000, 0.3632
  3.000, 0.8155, 0.01138, 0.00453,-0.0960,0.4115,0.4735,-1.6028, 0.0000, 0.3582
  3.250, 0.8358, 0.01148, 0.00468,-0.0946,0.4059,0.4988,-1.6349, 0.0000, 0.3533
  3.500, 0.8547, 0.01161, 0.00485,-0.0930,0.4005,0.5253,-1.6657, 0.0000, 0.3485
  3.750, 0.8721, 0.01177, 0.00505,-0.0912,0.3954,0.5540,-1.6953, 0.0000, 0.3438
  4.250, 0.9114, 0.01187, 0.00540,-0.0883,0.3879,0.6358,-1.7587, 0.0000, 0.3353
  4.500, 0.9249, 0.01179, 0.00562,-0.0856,0.3837,0.7451,-1.7853, 0.0000, 0.3305
  5.000, 1.0571, 0.01213, 0.00632,-0.1026,0.3702,1.0000,-1.9283, 0.0000, 0.3345
  5.250, 1.0780, 0.01235, 0.00651,-0.1016,0.3655,1.0000,-1.9617, 0.0000, 0.3312
  5.500, 1.0978, 0.01261, 0.00674,-0.1003,0.3600,1.0000,-1.9941, 0.0000, 0.3280
  5.750, 1.1158, 0.01295, 0.00703,-0.0988,0.3541,1.0000,-2.0248, 0.0000, 0.3248
  6.000, 1.1359, 0.01322, 0.00729,-0.0977,0.3495,1.0000,-2.0574, 0.0000, 0.3218
  6.250, 1.1558, 0.01351, 0.00756,-0.0966,0.3435,1.0000,-2.0900, 0.0000, 0.3189
  6.500, 1.1736, 0.01388, 0.00789,-0.0952,0.3365,1.0000,-2.1208, 0.0000, 0.3160
  6.750, 1.1915, 0.01427, 0.00825,-0.0939,0.3302,1.0000,-2.1533, 0.0000, 0.3133
  7.000, 1.2101, 0.01464, 0.00860,-0.0926,0.3230,1.0000,-2.1866, 0.0000, 0.3106
  7.250, 1.2255, 0.01516, 0.00906,-0.0910,0.3143,1.0000,-2.2167, 0.0000, 0.3079
  7.500, 1.2431, 0.01561, 0.00948,-0.0898,0.3065,1.0000,-2.2489, 0.0000, 0.3054
  7.750, 1.2574, 0.01621, 0.01003,-0.0881,0.2962,1.0000,-2.2778, 0.0000, 0.3028
  8.000, 1.2722, 0.01681, 0.01060,-0.0866,0.2871,1.0000,-2.3071, 0.0000, 0.3003
  8.250, 1.2852, 0.01753, 0.01126,-0.0848,0.2762,1.0000,-2.3343, 0.0000, 0.2978
  8.500, 1.2986, 0.01825, 0.01194,-0.0833,0.2674,1.0000,-2.3618, 0.0000, 0.2955
  8.750, 1.3111, 0.01904, 0.01269,-0.0816,0.2577,1.0000,-2.3927, 0.0000, 0.2931
  9.000, 1.3234, 0.01988, 0.01350,-0.0801,0.2500,1.0000,-2.4343, 0.0000, 0.2909
  9.250, 1.3370, 0.02066, 0.01427,-0.0787,0.2428,1.0000,-2.4776, 0.0000, 0.2888
  9.500, 1.3476, 0.02164, 0.01521,-0.0771,0.2355,1.0000,-2.5169, 0.0000, 0.2866
  9.750, 1.3605, 0.02251, 0.01608,-0.0758,0.2296,1.0000,-2.5592, 0.0000, 0.2846
 10.000, 1.3719, 0.02350, 0.01706,-0.0744,0.2226,1.0000,-2.5994, 0.0000, 0.2826
 10.250, 1.3820, 0.02461, 0.01815,-0.0729,0.2169,1.0000,-2.6376, 0.0000, 0.2807
 10.500, 1.3935, 0.02565, 0.01920,-0.0717,0.2119,1.0000,-2.6776, 0.0000, 0.2789
 10.750, 1.4054, 0.02669, 0.02025,-0.0706,0.2072,1.0000,-2.7181, 0.0000, 0.2771
 11.000, 1.4142, 0.02796, 0.02152,-0.0692,0.2005,1.0000,-2.7540, 0.0000, 0.2753
 11.250, 1.4195, 0.02954, 0.02307,-0.0677,0.1936,1.0000,-2.7848, 0.0000, 0.2735
 11.500, 1.4300, 0.03076, 0.02431,-0.0667,0.1873,1.0000,-2.8228, 0.0000, 0.2719
 11.750, 1.4305, 0.03280, 0.02632,-0.0650,0.1764,1.0000,-2.8459, 0.0000, 0.2702
 12.000, 1.4189, 0.03588, 0.02928,-0.0627,0.1481,1.0000,-2.8506, 0.0000, 0.2683
 12.250, 1.4055, 0.03929, 0.03259,-0.0607,0.1299,1.0000,-2.8514, 0.0000, 0.2666
 12.500, 1.4033, 0.04186, 0.03517,-0.0594,0.1238,1.0000,-2.8684, 0.0000, 0.2652
 12.750, 1.4040, 0.04424, 0.03757,-0.0584,0.1186,1.0000,-2.8894, 0.0000, 0.2639
 13.000, 1.4084, 0.04630, 0.03968,-0.0577,0.1171,1.0000,-2.9165, 0.0000, 0.2627
 13.250, 1.4118, 0.04850, 0.04194,-0.0570,0.1159,1.0000,-2.9416, 0.0000, 0.2615
 13.500, 1.4154, 0.05071, 0.04419,-0.0564,0.1148,1.0000,-2.9672, 0.0000, 0.2604
 13.750, 1.4171, 0.05317, 0.04672,-0.0558,0.1137,1.0000,-2.9891, 0.0000, 0.2593
 14.000, 1.4194, 0.05558, 0.04917,-0.0552,0.1126,1.0000,-3.0119, 0.0000, 0.2583
 14.250, 1.4194, 0.05829, 0.05194,-0.0547,0.1115,1.0000,-3.0300, 0.0000, 0.2574
