xflr5 v6.44

 Calculated polar for: NACA0018

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.005     Re =     0.500 e 6     Ncrit =   7.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
-14.000,-1.2361, 0.02911, 0.02270,-0.0392,1.0000,0.0607,-4.9121, 0.0000, 0.1952
-13.750,-1.2308, 0.02748, 0.02104,-0.0382,1.0000,0.0629,-4.8294, 0.0000, 0.1964
-13.500,-1.2227, 0.02615, 0.01969,-0.0370,1.0000,0.0649,-4.7360, 0.0000, 0.1976
-13.250,-1.2123, 0.02503, 0.01856,-0.0359,1.0000,0.0669,-4.6353, 0.0000, 0.1988
-13.000,-1.2004, 0.02406, 0.01755,-0.0348,1.0000,0.0689,-4.5304, 0.0000, 0.1999
-12.750,-1.1872, 0.02322, 0.01666,-0.0336,1.0000,0.0707,-4.4223, 0.0000, 0.2010
-12.500,-1.1728, 0.02251, 0.01589,-0.0324,1.0000,0.0721,-4.3120, 0.0000, 0.2021
-12.250,-1.1624, 0.02162, 0.01498,-0.0306,1.0000,0.0746,-4.2256, 0.0000, 0.2038
-12.000,-1.1523, 0.02077, 0.01413,-0.0287,1.0000,0.0778,-4.1396, 0.0000, 0.2057
-11.750,-1.1407, 0.02008, 0.01344,-0.0268,1.0000,0.0807,-4.0489, 0.0000, 0.2076
-11.500,-1.1286, 0.01951, 0.01285,-0.0247,1.0000,0.0836,-3.9569, 0.0000, 0.2096
-11.250,-1.1161, 0.01906, 0.01236,-0.0225,1.0000,0.0861,-3.8643, 0.0000, 0.2117
-11.000,-1.1080, 0.01859, 0.01188,-0.0194,1.0000,0.0890,-3.7832, 0.0000, 0.2147
-10.750,-1.1060, 0.01812, 0.01142,-0.0152,1.0000,0.0927,-3.7163, 0.0000, 0.2190
-10.500,-1.1072, 0.01779, 0.01110,-0.0100,1.0000,0.0958,-3.6566, 0.0000, 0.2240
-10.250,-1.1100, 0.01755, 0.01086,-0.0045,1.0000,0.0984,-3.6005, 0.0000, 0.2295
-10.000,-1.1053, 0.01731, 0.01059,-0.0003,1.0000,0.1011,-3.5277, 0.0000, 0.2336
 -9.500,-1.0526, 0.01636, 0.00969,-0.0009,0.9958,0.1121,-3.2886, 0.0000, 0.2337
 -9.250,-1.0189, 0.01596, 0.00927,-0.0025,0.9936,0.1180,-3.1550, 0.0000, 0.2323
 -9.000,-0.9878, 0.01549, 0.00884,-0.0036,0.9905,0.1251,-3.0287, 0.0000, 0.2314
 -8.750,-0.9567, 0.01504, 0.00844,-0.0047,0.9868,0.1335,-2.9040, 0.0000, 0.2303
 -8.500,-0.9234, 0.01464, 0.00807,-0.0062,0.9839,0.1417,-2.7901, 0.0000, 0.2288
 -8.250,-0.8890, 0.01420, 0.00769,-0.0080,0.9815,0.1513,-2.6757, 0.0000, 0.2268
 -8.000,-0.8539, 0.01384, 0.00735,-0.0097,0.9794,0.1597,-2.5614, 0.0000, 0.2245
 -7.750,-0.8258, 0.01344, 0.00701,-0.0101,0.9736,0.1695,-2.4613, 0.0000, 0.2240
 -7.500,-0.7935, 0.01310, 0.00668,-0.0112,0.9693,0.1793,-2.3549, 0.0000, 0.2223
 -7.250,-0.7610, 0.01269, 0.00635,-0.0124,0.9654,0.1920,-2.2496, 0.0000, 0.2202
 -7.000,-0.7329, 0.01239, 0.00608,-0.0125,0.9591,0.2021,-2.1533, 0.0000, 0.2196
 -6.750,-0.7060, 0.01206, 0.00581,-0.0124,0.9514,0.2133,-2.0678, 0.0000, 0.2193
 -6.500,-0.6756, 0.01176, 0.00554,-0.0130,0.9456,0.2242,-1.9804, 0.0000, 0.2179
 -6.250,-0.6521, 0.01148, 0.00531,-0.0121,0.9358,0.2369,-1.9042, 0.0000, 0.2188
 -6.000,-0.6253, 0.01120, 0.00508,-0.0118,0.9271,0.2488,-1.8240, 0.0000, 0.2186
 -5.750,-0.6001, 0.01096, 0.00485,-0.0112,0.9175,0.2607,-1.7471, 0.0000, 0.2190
 -5.500,-0.5747, 0.01073, 0.00464,-0.0106,0.9066,0.2724,-1.6728, 0.0000, 0.2194
 -5.250,-0.5492, 0.01050, 0.00445,-0.0101,0.8962,0.2861,-1.6051, 0.0000, 0.2197
 -5.000,-0.5242, 0.01029, 0.00427,-0.0094,0.8840,0.2986,-1.5388, 0.0000, 0.2203
 -4.750,-0.4983, 0.01011, 0.00409,-0.0089,0.8724,0.3113,-1.4721, 0.0000, 0.2206
 -4.500,-0.4730, 0.00992, 0.00393,-0.0082,0.8589,0.3247,-1.4070, 0.0000, 0.2211
 -4.250,-0.4469, 0.00978, 0.00378,-0.0077,0.8461,0.3383,-1.3481, 0.0000, 0.2214
