xflr5 v6.44

 Calculated polar for: NACA 23015

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.005     Re =     0.600 e 6     Ncrit =   7.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
-14.000,-1.1069, 0.03473, 0.02971,-0.0504,1.0000,0.0196,-8.3309, 0.0000, 0.1864
-13.750,-1.1001, 0.03322, 0.02812,-0.0494,1.0000,0.0198,-8.1905, 0.0000, 0.1875
-13.500,-1.0925, 0.03184, 0.02665,-0.0483,1.0000,0.0200,-8.0459, 0.0000, 0.1887
-13.250,-1.0842, 0.03056, 0.02529,-0.0469,1.0000,0.0202,-7.8979, 0.0000, 0.1900
-13.000,-1.0751, 0.02937, 0.02400,-0.0454,1.0000,0.0205,-7.7473, 0.0000, 0.1915
-12.750,-1.0654, 0.02826, 0.02280,-0.0437,1.0000,0.0207,-7.5945, 0.0000, 0.1930
-12.500,-1.0550, 0.02722, 0.02167,-0.0419,1.0000,0.0210,-7.4397, 0.0000, 0.1947
-12.250,-1.0442, 0.02626, 0.02061,-0.0400,1.0000,0.0213,-7.2834, 0.0000, 0.1965
-12.000,-1.0330, 0.02538, 0.01964,-0.0379,1.0000,0.0216,-7.1261, 0.0000, 0.1985
-11.750,-1.0217, 0.02459, 0.01876,-0.0356,1.0000,0.0218,-6.9692, 0.0000, 0.2007
-11.500,-1.0106, 0.02390, 0.01797,-0.0331,1.0000,0.0221,-6.8244, 0.0000, 0.2031
-11.250,-0.9978, 0.02328, 0.01727,-0.0307,1.0000,0.0223,-6.6722, 0.0000, 0.2054
-11.000,-0.9885, 0.02220, 0.01615,-0.0280,1.0000,0.0227,-6.5465, 0.0000, 0.2082
-10.750,-0.9771, 0.02153, 0.01546,-0.0254,1.0000,0.0230,-6.3971, 0.0000, 0.2108
-10.500,-0.9644, 0.02102, 0.01493,-0.0228,1.0000,0.0234,-6.2390, 0.0000, 0.2134
-10.250,-0.9515, 0.02059, 0.01448,-0.0203,1.0000,0.0237,-6.0796, 0.0000, 0.2161
-10.000,-0.9388, 0.02019, 0.01405,-0.0176,1.0000,0.0242,-5.9231, 0.0000, 0.2190
 -9.750,-0.9263, 0.01978, 0.01362,-0.0149,1.0000,0.0246,-5.7710, 0.0000, 0.2220
 -9.500,-0.9141, 0.01937, 0.01316,-0.0121,1.0000,0.0251,-5.6235, 0.0000, 0.2251
 -9.250,-0.8845, 0.01880, 0.01253,-0.0128,0.9983,0.0257,-5.4166, 0.0000, 0.2240
 -9.000,-0.8519, 0.01823, 0.01188,-0.0141,0.9961,0.0262,-5.2025, 0.0000, 0.2222
 -8.750,-0.8207, 0.01744, 0.01107,-0.0153,0.9937,0.0269,-5.0001, 0.0000, 0.2203
 -8.500,-0.7889, 0.01682, 0.01046,-0.0164,0.9909,0.0276,-4.7894, 0.0000, 0.2182
 -8.250,-0.7555, 0.01634, 0.00997,-0.0178,0.9883,0.0283,-4.5739, 0.0000, 0.2156
 -8.000,-0.7223, 0.01586, 0.00948,-0.0192,0.9855,0.0292,-4.3647, 0.0000, 0.2128
 -7.750,-0.6888, 0.01539, 0.00898,-0.0205,0.9823,0.0300,-4.1604, 0.0000, 0.2097
 -7.500,-0.6544, 0.01500, 0.00854,-0.0219,0.9794,0.0309,-3.9557, 0.0000, 0.2061
 -7.250,-0.6250, 0.01438, 0.00795,-0.0225,0.9741,0.0321,-3.7797, 0.0000, 0.2037
 -7.000,-0.5948, 0.01402, 0.00759,-0.0231,0.9680,0.0332,-3.6042, 0.0000, 0.2010
 -6.750,-0.5652, 0.01365, 0.00721,-0.0234,0.9614,0.0343,-3.4370, 0.0000, 0.1984
 -6.500,-0.5367, 0.01331, 0.00682,-0.0235,0.9535,0.0354,-3.2771, 0.0000, 0.1962
 -6.250,-0.5111, 0.01286, 0.00637,-0.0230,0.9438,0.0366,-3.1284, 0.0000, 0.1951
 -6.000,-0.4854, 0.01255, 0.00606,-0.0224,0.9328,0.0380,-2.9771, 0.0000, 0.1939
 -5.750,-0.4598, 0.01228, 0.00576,-0.0218,0.9208,0.0395,-2.8296, 0.0000, 0.1928
 -5.500,-0.4343, 0.01203, 0.00546,-0.0211,0.9076,0.0410,-2.6855, 0.0000, 0.1917
 -5.250,-0.4097, 0.01172, 0.00514,-0.0203,0.8931,0.0429,-2.5446, 0.0000, 0.1907
