xflr5 v6.44,,,,,,,,,
,,,,,,,,,
 Calculated polar for: NACA 4412,,,,,,,,,
,,,,,,,,,
 1 1 Reynolds number fixed          Mach number fixed         ,,,,,,,,,
,,,,,,,,,
 xtrf =   1.000 (top)        1.000 (bottom),,,,,,,,,
 Mach =   0.005     Re =     0.500 e 6     Ncrit =   7.000,,,,,,,,,
,,,,,,,,,
alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
-14,-0.2408,0.12574,0.12351,-0.0406,1,0.0226,-1.5138,0,0.0666
-13.75,-0.2384,0.12439,0.12216,-0.04,1,0.0229,-1.47,0,0.0679
-13.5,-0.2376,0.12305,0.12084,-0.0394,1,0.0231,-1.4431,0,0.0701
-13.25,-0.2382,0.1217,0.1195,-0.0388,1,0.0233,-1.4296,0,0.0731
-13,-0.2402,0.12032,0.11813,-0.0384,1,0.0236,-1.431,0,0.0764
-12.75,-0.2433,0.11866,0.11648,-0.0385,0.9999,0.0238,-1.4562,0,0.0782
-12.5,-0.2494,0.11406,0.11185,-0.04,0.9996,0.0207,-1.6393,0,0.0754
-12.25,-0.2486,0.11004,0.10782,-0.0419,0.9989,0.0204,-1.7266,0,0.0669
-12,-0.2491,0.10567,0.10345,-0.0439,0.9983,0.0202,-1.826,0,0.0591
-11.75,-0.2504,0.10077,0.09855,-0.0461,0.9975,0.0201,-1.9412,0,0.051
-11.5,-0.253,0.09557,0.09333,-0.0484,0.9969,0.0202,-2.0638,0,0.0438
-11.25,-0.2584,0.0896,0.08736,-0.0509,0.996,0.0208,-2.2206,0,0.0381
-11,-0.2746,0.08141,0.07917,-0.0539,0.9951,0.0213,-2.5153,0,0.0389
-10.75,-0.4095,0.09422,0.09178,-0.0475,1,0.0195,-3.1326,0,0.1183
-10.5,-0.4378,0.08648,0.08409,-0.0496,1,0.02,-3.5005,0,0.1218
-10.25,-0.668,0.02338,0.01874,-0.0992,0.9791,0.0202,-6.9192,0,0.0885
-10,-0.6384,0.02222,0.0174,-0.1006,0.9767,0.0209,-6.6646,0,0.0793
-9.75,-0.607,0.02103,0.01601,-0.1024,0.975,0.0215,-6.4114,0,0.0683
-9.5,-0.5742,0.02001,0.0148,-0.1042,0.9737,0.022,-6.1497,0,0.0555
-9.25,-0.549,0.01882,0.01345,-0.1044,0.969,0.0226,-5.9344,0,0.0468
-9,-0.5196,0.0178,0.01235,-0.1055,0.9661,0.0234,-5.687,0,0.0339
-8.75,-0.4878,0.01713,0.01162,-0.1067,0.9638,0.0242,-5.4198,0,0.018
-8.5,-0.4609,0.01655,0.01096,-0.1068,0.9587,0.0251,-5.1819,0,0.005
-8.25,-0.4318,0.01594,0.01025,-0.1073,0.9546,0.0261,-4.941,0,-0.0119
-8,-0.4024,0.0154,0.00959,-0.1077,0.9506,0.027,-4.7256,0,-0.0314
-7.5,-0.3492,0.0142,0.00829,-0.1075,0.938,0.0294,-4.3247,0,-0.072
-7.25,-0.323,0.0138,0.00782,-0.1072,0.9306,0.0307,-4.1258,0,-0.0964
-7,-0.2955,0.01337,0.00731,-0.1071,0.9249,0.0321,-3.9305,0,-0.1275
-6.75,-0.2692,0.01293,0.00679,-0.1068,0.9178,0.0333,-3.7446,0,-0.1622
-6.5,-0.2422,0.01244,0.00628,-0.1067,0.9119,0.0351,-3.5544,0,-0.2068
-6.25,-0.2155,0.01213,0.00591,-0.1064,0.9043,0.0369,-3.3656,0,-0.2611
-6,-0.1877,0.01186,0.00556,-0.1063,0.8979,0.0389,-3.177,0,-0.335
-5.75,-0.1612,0.01146,0.00516,-0.1061,0.89,0.0415,-2.9967,0,-0.4286
-5.5,-0.1334,0.01121,0.00485,-0.106,0.8833,0.0442,-2.814,0,-0.5674
-5.25,-0.1064,0.0109,0.0045,-0.1057,0.8751,0.0469,-2.6534,0,-0.7717
-5,-0.0788,0.01065,0.00422,-0.1056,0.8674,0.0502,-2.4965,0,-1.1252
-4.75,-0.0514,0.01041,0.00394,-0.1054,0.8584,0.054,-2.3441,0,-1.8506
-4.5,-0.0239,0.01021,0.00371,-0.1053,0.8496,0.0587,-2.1918,0,-4.2635
-4.25,0.0037,0.00999,0.00346,-0.1051,0.8405,0.0637,-2.0438,0,29.3821
-4,0.0313,0.00981,0.00325,-0.105,0.831,0.0693,-1.8985,0,3.6707
-3.75,0.059,0.00966,0.00306,-0.1049,0.8215,0.0764,-1.755,0,2.0595
-3.5,0.0865,0.00949,0.00289,-0.1047,0.8107,0.0846,-1.6272,0,1.4807
-3.25,0.1141,0.00934,0.00273,-0.1046,0.8001,0.0938,-1.5044,0,1.1804
-3,0.1417,0.00922,0.00258,-0.1044,0.7896,0.1047,-1.3839,0,0.9971
-2.75,0.1692,0.00908,0.00246,-0.1043,0.7779,0.1174,-1.266,0,0.8739
-2.5,0.1967,0.00897,0.00235,-0.1042,0.7663,0.1319,-1.1528,0,0.7851
-2.25,0.2241,0.00889,0.00225,-0.104,0.7544,0.1484,-1.0517,0,0.7181
-2,0.2516,0.00879,0.00218,-0.1039,0.7419,0.167,-0.9528,0,0.6659
-1.75,0.279,0.00871,0.00211,-0.1037,0.7294,0.1877,-0.8561,0,0.6239
-1.5,0.3063,0.00865,0.00206,-0.1036,0.7167,0.2107,-0.7692,0,0.5895
